,sae_pending_count,missing_visit_count,missing_pages_count,lab_issues_count,uncoded_meddra_count,uncoded_whodd_count,edrr_open_issues,inactivated_forms_count,max_days_outstanding,max_days_page_missing
sae_pending_count,1.0,0.70754012836196,0.34261772285491926,0.22639533853709218,3.089665826984985,1.6542429927168396,0.7639665984678123,0.17587452041723842,0.6805558792765802,0.2713226314042746
missing_visit_count,0.70754012836196,1.0,12.146034144945997,6.231028807790166,3.589189791321138,3.351938262742283,5.766954948487612,1.9601661281032072,41.6346015793252,6.437270069621352
missing_pages_count,0.34261772285491926,12.146034144945997,1.0,10.63174507697816,6.566076397891281,6.65187969924812,5.971377091377092,3.5632605660443293,12.32296108077915,17.442706766917293
lab_issues_count,0.22639533853709218,6.231028807790166,10.63174507697816,1.0,24.71527484557041,24.9093537414966,4.620708463565607,2.9974958178866613,6.206852267491118,22.432551274874037
uncoded_meddra_count,3.089665826984985,3.589189791321138,6.566076397891281,24.71527484557041,1.0,30.36566091954023,1.8767797970384177,1.0776030453150875,3.6414722354773086,13.09159214033881
uncoded_whodd_count,1.6542429927168396,3.351938262742283,6.65187969924812,24.9093537414966,30.36566091954023,1.0,3.874436936936937,2.1104010911295212,3.311270939548434,11.644014962593516
edrr_open_issues,0.7639665984678123,5.766954948487612,5.971377091377092,4.620708463565607,1.8767797970384177,3.874436936936937,1.0,5.793481575129383,5.7558225559864304,6.1891611062434
inactivated_forms_count,0.17587452041723842,1.9601661281032072,3.5632605660443293,2.9974958178866613,1.0776030453150875,2.1104010911295212,5.793481575129383,1.0,1.9887191671141788,4.719719946446271
max_days_outstanding,0.6805558792765802,41.6346015793252,12.32296108077915,6.206852267491118,3.6414722354773086,3.311270939548434,5.7558225559864304,1.9887191671141788,1.0,6.531039480686484
max_days_page_missing,0.2713226314042746,6.437270069621352,17.442706766917293,22.432551274874037,13.09159214033881,11.644014962593516,6.1891611062434,4.719719946446271,6.531039480686484,1.0
